,mean_ap,std_ap,model,r_state,fraction
0,0.22166754381892306,0.10843186117548348,esm2_8m_untrained,0,0.3333333333333333
1,0.22868917065861535,0.1115543579156246,esm2_8m_untrained,0,0.6666666666666666
2,0.23066444781983753,0.11266054735011094,esm2_8m_untrained,0,1.0
3,0.2100304257130624,0.1063956329962975,esm2_8m_untrained,1,0.3333333333333333
4,0.22782435823077132,0.1186460813971539,esm2_8m_untrained,1,0.6666666666666666
5,0.23622626687318118,0.11920329744877378,esm2_8m_untrained,1,1.0
0,0.5909375420162929,0.22308379502593784,esm2_8m,0,0.3333333333333333
1,0.6196368741966417,0.2279532446401431,esm2_8m,0,0.6666666666666666
2,0.6396418203563254,0.21637371531918437,esm2_8m,0,1.0
3,0.5934429198824608,0.22175018466739918,esm2_8m,1,0.3333333333333333
4,0.6178643242605601,0.22431017764681604,esm2_8m,1,0.6666666666666666
5,0.6400343389010846,0.22218853549633186,esm2_8m,1,1.0
0,0.6311298609156507,0.22555883904269564,imgt_aa_ctx_23,0,0.3333333333333333
1,0.6595113736291466,0.22890169602211405,imgt_aa_ctx_23,0,0.6666666666666666
2,0.6698746649958754,0.22426779301548522,imgt_aa_ctx_23,0,1.0
3,0.6288241446528655,0.22175986508881648,imgt_aa_ctx_23,1,0.3333333333333333
4,0.6584239414520243,0.22297407134976147,imgt_aa_ctx_23,1,0.6666666666666666
5,0.6727170015151549,0.21879892109830396,imgt_aa_ctx_23,1,1.0
