1AHW,D,E,F
1BJ1,L,H,W
1CE1,L,H,P
1CU4,L,H,P
1E4X,L,H,P
1EJO,L,H,P
1F58,L,H,P
1F90,L,H,E
1FSK,H,I,G
1GGI,L,H,P
1IFH,L,H,P
1IQD,A,B,C
1JHL,L,H,A
1JPS,L,H,T
1JRH,L,H,I
1KC5,L,H,P
1LK3,M,I,B
1N64,L,H,P
1N8Z,A,B,C
1NAK,L,H,P
1NCA,L,H,N
1NDG,A,B,C
1NL0,L,H,G
1OAZ,L,H,A
1OB1,A,B,C
1ORS,A,B,C
1OSP,L,H,O
1PZ5,A,B,C
1QFU,L,H,A
1QLE,L,H,B
1RJL,A,B,C
1SM3,L,H,P
1SY6,L,H,A
1UWX,L,H,P
1VFB,A,B,C
1W72,M,I,D;F
1XGQ,A,B,C
1XGY,L,H,P
1XIW,G,H,E;B
1YJD,L,H,C
1YQV,L,H,Y
2A6K,L,H,P
2ADF,L,H,A
2AEP,L,H,A
2ARJ,L,H,Q
2B2X,M,I,B
2BDN,L,H,A
2BRR,L,H,P
2CK0,L,H,P
2CMR,L,H,A
2EH8,L,H,P
2G5B,C,D,J
2GSI,A,B,W
2H9G,L,H,S
2HFG,L,H,R
2HKF,L,H,P
2HMI,C,D,B
2HRP,L,H,P
2IGF,L,H,P
2J6E,M,I,B
2J88,L,H,A
2MPA,L,H,P
2NR6,E,F,B
2NY3,C,D,A
2OSL,L,H,P
2OZ4,L,H,A
2Q8A,L,H,A
2QQK,L,H,A
2QQN,L,H,A
2R0Z,L,H,Q
2R56,M,I,B
2V17,L,H,A
2VDM,L,H,A
2VH5,L,H,R
2VXQ,L,H,A
2VXT,L,H,I
2W65,D,C,F
2W9E,L,H,A
2XQB,L,H,A
2XQY,L,G,A
2Y5T,B,A,E;G;F
2Y6S,L,H,Q
2YPV,L,H,A
3B9K,L,H,B
3BGF,L,H,S
3BKY,L,H,P
3BN9,C,D,B
3BT2,L,H,U
3CXD,L,H,P
3E8U,L,H,P
3EFD,L,H,K
3EOA,L,H,I
3EYF,A,B,E
3G04,A,B,C
3G5V,A,B,C
3G5Y,A,B,E
3GHE,L,H,P
3GO1,L,H,P
3GRW,L,H,A
3H0T,A,B,C
3H42,L,H,B;A
3HAE,L,H,A;C
3IDX,L,H,G
3IET,C,D,Q
3IFN,L,H,P
3IFO,L,H,P
3K2U,L,H,A
3KR3,L,H,D
3L5W,A,B,J
3L5X,L,H,A
