1A3R,L,H,P
1ACY,L,H,P
1AHW,D,E,F
1BGX,L,H,T
1BVK,D,E,F
1CE1,L,H,P
1CZ8,L,H,W
1DQJ,A,B,C
1E4W,L,H,P
1E6J,L,H,P
1EGJ,L,H,A
1F58,L,H,P
1FBI,P,Q,Y
1FE8,L,H,A
1FRG,L,H,P
1FSK,K,L,J
1H0D,A,B,C
1HYS,C,D,B
1IGC,L,H,A
1IQD,A,B,C
1JHL,L,H,A
1JRH,L,H,I
1KB5,L,H,A;B
1KC5,L,H,P
1KCS,L,H,P
1LK3,L,H,A
1MPA,L,H,P
1N0X,L,H,P
1N8Z,A,B,C
1NAK,L,H,P
1NCA,L,H,N
1NFD,G,H,D
1NMA,L,H,N
1NSN,L,H,S
1OB1,D,E,F
1ORS,A,B,C
1OSP,L,H,O
1P2C,D,E,F
1PKQ,F,G,J
1Q1J,L,H,P
1RJL,A,B,C
1TET,L,H,P
1TJI,L,H,P
1TZH,L,H,V
1UWX,L,H,P
1VFB,A,B,C
1W72,L,H,A;C
1YJD,L,H,C
1YMH,A,B,E
1YQV,L,H,Y
1YY9,C,D,A
1ZTX,L,H,E
2AEP,L,H,A
2AP2,C,D,Q
2B0S,L,H,P
2BDN,L,H,A
2BRR,X,Y,P
2CK0,L,H,P
2CMR,L,H,A
2EH8,L,H,P
2GSI,G,H,Z
2H1P,L,H,P
2HFG,L,H,R
2HH0,L,H,P
2HRP,L,H,P
2J4W,L,H,D
2J88,L,H,A
2NR6,C,D,A
2OQJ,G,H,I
2OR9,L,H,P
2OSL,L,H,P
2R56,L,H,A
2V17,L,H,A
2VXQ,L,H,A
2XQB,L,H,A
2XQY,K,J,E
2XTJ,B,D,A
2YPV,L,H,A
3B2U,X,W,V
3B9K,L,H,B
3BKY,L,H,P
3BN9,C,D,B
3CVH,L,H,A;C
3CXD,L,H,P
3GJF,L,H,A;C
3HMX,L,H,A
3IDX,L,H,G
3L5W,L,H,I
3LD8,B,C,A
3LIZ,L,H,A
3LZF,L,H,A
3MA9,L,H,A
3MXW,L,H,A
3NH7,L,H,A
3NPS,C,B,A
3O0R,L,H,C;B
3O2D,L,H,A
3PNW,D,E,F
3Q1S,L,H,I
3Q3G,C,D,G;E
3QNZ,A,B,C
3QWO,L,H,P
3RKD,L,H,A
3S35,L,H,X
3SDY,L,H,A;B
3SE8,L,H,G
3SO3,B,C,A
3T2N,M,I,B
3U4E,L,H,G
3V6O,E,C,A
3VG9,B,C,A
3VI3,L,H,D
3WKM,L,H,A
3ZTN,L,H,A;B
4AG4,L,H,A
4ALA,L,H,C
4BZ1,L,H,A
4CNI,L,H,C
4D3C,L,H,A
4DKF,L,H,A
4DN4,L,H,M
4DQO,L,H,C
4DTG,L,H,K
4DW2,L,H,U
4ENE,D,C,A;B
4ETQ,L,H,C
4F3F,A,B,C
4G6J,L,H,A
4H88,L,H,A
4HC1,N,M,B
4HCR,N,M,B
4HKX,B,A,E
4HLZ,H,G,B
4HT1,L,H,T
4I2X,A,B,E
4I3S,L,H,G
4IJ3,B,C,A
4JPV,L,H,G
4JR9,L,H,A
4K2U,M,I,B
4K3J,L,H,B
4KI5,F,E,M
4KI5,D,C,M
4KUC,E,F,I
4KXZ,P,Q,D
4LIQ,L,H,E
4LMQ,L,H,D
4LQF,L,H,A
4LSP,L,H,G
4LSU,L,H,G
4LVH,C,B,A
4LVN,B,C,A
4NP4,L,H,A
4NZR,L,H,M
4NZT,L,H,M
4O4Y,L,H,A
4O58,L,H,A
4OGY,L,H,A
4OKV,B,A,F
4OT1,L,H,A
4R8W,L,H,B
4RDQ,F,G,A;E
4RGN,G,F,S
4RGN,L,H,S
4RWY,L,H,A
4UU9,L,H,D
4XP4,L,H,A
4XTR,D,C,B
4Y5Y,E,D,F
4YDJ,L,H,G
4YDV,L,H,P
4YE4,L,H,G
4YWG,L,H,G
4ZS7,L,H,A
4ZTO,L,H,P
5ANM,C,D,E
5B3J,F,E,C
5BV7,L,H,A
5CZX,L,H,A
5D96,I,J,D
5DD0,L,H,P
5DFV,D,C,A
5DHV,L,H,M
5DS8,L,H,P
5DSC,L,H,N
5EN2,B,A,C
5F96,L,H,G
5FB8,A,B,C
5GGS,D,C,Y
5GJS,L,H,A;B
5HI4,L,H,A;B
5IKC,L,H,N
5J13,B,C,A
5JQ6,L,H,A
5KW9,L,H,A
5L0Q,B,C,A
5LCV,L,H,A
5TE7,L,H,G
5TH9,L,H,A
5TL5,L,H,A
5U3M,L,H,A
5UKR,L,H,G
5VEB,B,A,X
5W6G,L,H,A
5WUX,L,H,E
